,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Product,System Product Name
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-75-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBlockByNumber_13M.tar
,,,,,,,,,,,,VegetaChecksum,59204    38
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version, 
,,,,,,,,,,,,Erigon version,master f1a496375b16167442166c2d5c3a9c8425d47d4a


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
daemon,[1. 1] ,38 ,100,30,  180.258µs, 4.53ms, 3.996ms, 8.319ms, 9.327ms, 12.662ms, 33.022ms ,100.00%,
daemon,[1. 2] ,38 ,100,30,  146.735µs, 4.388ms, 3.901ms, 7.98ms, 9.11ms, 12.761ms, 23.739ms ,100.00%,
daemon,[1. 3] ,38 ,100,30,  207.692µs, 4.416ms, 3.938ms, 8.029ms, 9.099ms, 13.102ms, 21.418ms ,100.00%,
daemon,[1. 4] ,38 ,100,30,  188.645µs, 4.381ms, 3.876ms, 7.976ms, 8.915ms, 13.013ms, 19.618ms ,100.00%,
daemon,[1. 5] ,39 ,100,30,  174.291µs, 4.448ms, 3.933ms, 7.966ms, 8.974ms, 13.29ms, 46.018ms ,100.00%,
daemon,[2. 1] ,70 ,1000,20,  209.99µs, 17.263ms, 8.173ms, 48.119ms, 81.313ms, 135.612ms, 224.402ms ,100.00%,
daemon,[2. 2] ,70 ,1000,20,  195.375µs, 17.288ms, 8.271ms, 43.921ms, 80.251ms, 148.233ms, 275.72ms ,100.00%,
daemon,[2. 3] ,70 ,1000,20,  196.624µs, 17.375ms, 8.738ms, 42.586ms, 78.522ms, 144.721ms, 264.695ms ,100.00%,
daemon,[2. 4] ,70 ,1000,20,  224.278µs, 17.113ms, 8.295ms, 42.875ms, 81.646ms, 149.035ms, 256.744ms ,100.00%,
daemon,[2. 5] ,80 ,1000,20,  162.681µs, 17.64ms, 8.512ms, 45.355ms, 85.431ms, 145.641ms, 220.891ms ,100.00%,
daemon,[3. 1] ,188 ,5000,20,  1.561ms, 6.624s, 15.039ms, 23.902s, 25.86s, 28.672s, 32.149s ,35.68%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[3. 2] ,188 ,5000,20,  471.919µs, 76.815ms, 11.414ms, 231.048ms, 343.529ms, 651.148ms, 2.1s ,26.96%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[3. 3] ,188 ,5000,20,  652.17µs, 388.511ms, 1.968ms, 850.741ms, 3.779s, 5.775s, 7.119s ,21.47%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[3. 4] ,1193 ,5000,20,  354.24µs, 5.478s, 461.57ms, 17.48s, 20.366s, 23.562s, 25.295s ,48.04%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[3. 5] ,1193 ,5000,20,  627µs, 453.988ms, 2.351ms, 1.67s, 4.203s, 5.533s, 7.014s ,22.19%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 1] ,1193 ,9000,20,  653.923µs, 223.748ms, 9.077ms, 176.342ms, 1.395s, 4.8s, 6.523s ,11.44%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 2] ,1193 ,9000,20,  840.721µs, 6.697s, 6.376s, 14.767s, 15.96s, 19.784s, 22.431s ,71.43%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 3] ,1193 ,9000,20,  883.019µs, 2.208s, 752.615ms, 6.876s, 8.409s, 10.357s, 11.322s ,49.23%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 4] ,1193 ,9000,20,  686.946µs, 806.226ms, 4.126ms, 3.483s, 6.918s, 9.632s, 12.525s ,15.42%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 5] ,1193 ,9000,20,  1.241ms, 1.448s, 594.841ms, 5.704s, 6.135s, 6.887s, 7.666s ,56.03%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
