,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Product,System Product Name
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-75-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBlockByNumber_13M.tar
,,,,,,,,,,,,VegetaChecksum,59204    38
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version, 
,,,,,,,,,,,,Erigon version,master f1a496375b16167442166c2d5c3a9c8425d47d4a


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
daemon,[1. 1] ,94 ,100,30,  36.093µs, 1.41ms, 958.348µs, 2.103ms, 2.333ms, 3.482ms, 48.462ms ,100.00%,
daemon,[1. 2] ,94 ,100,30,  69.37µs, 1.329ms, 975.014µs, 2.097ms, 2.33ms, 3.202ms, 48.75ms ,100.00%,
daemon,[1. 3] ,94 ,100,30,  116.321µs, 1.464ms, 993.263µs, 2.118ms, 2.328ms, 3.659ms, 49.217ms ,100.00%,
daemon,[1. 4] ,94 ,100,30,  145.123µs, 1.637ms, 1.056ms, 2.204ms, 2.48ms, 27.831ms, 47.699ms ,100.00%,
daemon,[1. 5] ,94 ,100,30,  80.431µs, 1.332ms, 983.455µs, 2.083ms, 2.282ms, 3.235ms, 47.024ms ,100.00%,
daemon,[2. 1] ,94 ,1000,20,  42.689µs, 2.36ms, 1.046ms, 2.37ms, 2.885ms, 44.81ms, 49.928ms ,100.00%,
daemon,[2. 2] ,94 ,1000,20,  38.292µs, 2.36ms, 1.049ms, 2.37ms, 2.893ms, 44.683ms, 50.549ms ,100.00%,
daemon,[2. 3] ,94 ,1000,20,  42.766µs, 2.311ms, 1.074ms, 2.408ms, 3.002ms, 44.675ms, 49.614ms ,100.00%,
daemon,[2. 4] ,94 ,1000,20,  41.777µs, 2.409ms, 1.06ms, 2.391ms, 3.004ms, 45.019ms, 51.848ms ,100.00%,
daemon,[2. 5] ,94 ,1000,20,  56.598µs, 2.333ms, 1.06ms, 2.361ms, 2.847ms, 44.722ms, 50.18ms ,100.00%,
daemon,[3. 1] ,94 ,5000,20,  51.368µs, 4.087ms, 2.328ms, 6.734ms, 10.635ms, 47.482ms, 80.02ms ,100.00%,
daemon,[3. 2] ,94 ,5000,20,  62.153µs, 11.745ms, 5.388ms, 29.704ms, 45.302ms, 85.395ms, 349.231ms ,100.00%,
daemon,[3. 3] ,94 ,5000,20,  55.409µs, 8.322ms, 4.325ms, 19.313ms, 30.116ms, 55.626ms, 188.697ms ,100.00%,
daemon,[3. 4] ,94 ,5000,20,  57.597µs, 7.812ms, 3.528ms, 19.986ms, 33.71ms, 54.001ms, 167.739ms ,100.00%,
daemon,[3. 5] ,94 ,5000,20,  57.924µs, 6.65ms, 3.339ms, 15.107ms, 26.312ms, 50.865ms, 150.315ms ,100.00%,
daemon,[4. 1] ,94 ,9000,20,  84.43µs, 3.046s, 301.232ms, 15.457s, 16.586s, 18.159s, 18.684s ,68.71%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 2] ,94 ,9000,20,  191.478µs, 55.418ms, 2.603ms, 192.684ms, 271.128ms, 463.468ms, 1.364s ,33.19%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 3] ,94 ,9000,20,  422.445µs, 630.782ms, 4.18ms, 1.322s, 5.959s, 6.98s, 7.71s ,33.84%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 4] ,94 ,9000,20,  645.505µs, 1.03s, 3.069ms, 1.76s, 2.962s, 18.11s, 18.755s ,40.55%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
daemon,[4. 5] ,94 ,9000,20,  192.045µs, 143.313ms, 2.674ms, 400.67ms, 572.106ms, 2.008s, 2.338s ,36.56%,"Post ""http://localhost:8545"": dial tcp 0.0.0.0:0->127.0.0.1:8545: bind: address already in use
"
