,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Board,W680/MB DC
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-75-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_call_001_14M.tar
,,,,,,,,,,,,VegetaChecksum,09737  4892
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version, 
,,,,,,,,,,,,Erigon version,master f1a496375b16167442166c2d5c3a9c8425d47d4a


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
daemon,[1. 1] ,38 ,100,30,  115.44µs, 341.542µs, 286.243µs, 519.169µs, 698.446µs, 1.095ms, 5.056ms ,100.00%,
daemon,[1. 2] ,38 ,100,30,  86.481µs, 309.527µs, 272.852µs, 456.468µs, 635.482µs, 951.904µs, 4.92ms ,100.00%,
daemon,[1. 3] ,38 ,100,30,  92.24µs, 302.182µs, 263.909µs, 443.622µs, 590.914µs, 933.76µs, 3.847ms ,100.00%,
daemon,[1. 4] ,38 ,100,30,  108.31µs, 318.082µs, 280.362µs, 456.177µs, 608.239µs, 898.455µs, 5.308ms ,100.00%,
daemon,[1. 5] ,38 ,100,30,  86.153µs, 330.638µs, 264.328µs, 535.781µs, 715.95µs, 1.586ms, 4.766ms ,100.00%,
daemon,[2. 1] ,38 ,1000,20,  80.964µs, 234.955µs, 171.695µs, 417.445µs, 583.071µs, 1.154ms, 50.988ms ,100.00%,
daemon,[2. 2] ,38 ,1000,20,  87.342µs, 215.532µs, 164.456µs, 364.091µs, 529.948µs, 822.219µs, 64.312ms ,100.00%,
daemon,[2. 3] ,38 ,1000,20,  78.107µs, 366.111µs, 170.069µs, 372.765µs, 525.851µs, 957.981µs, 76.612ms ,100.00%,
daemon,[2. 4] ,38 ,1000,20,  82.321µs, 214.62µs, 167.163µs, 359.981µs, 513.891µs, 834.467µs, 46.895ms ,100.00%,
daemon,[2. 5] ,38 ,1000,20,  76.75µs, 214.568µs, 164.283µs, 369.37µs, 515.866µs, 825.703µs, 46.719ms ,100.00%,
daemon,[3. 1] ,40 ,10000,20,  82.847µs, 741.216µs, 211.767µs, 591.459µs, 942.313µs, 13.836ms, 207.179ms ,100.00%,
daemon,[3. 2] ,40 ,10000,20,  80.109µs, 330.885µs, 210.306µs, 559.372µs, 795.382µs, 2.277ms, 125.892ms ,100.00%,
daemon,[3. 3] ,40 ,10000,20,  78.57µs, 409.082µs, 214.455µs, 575.895µs, 861.61µs, 3.732ms, 61.229ms ,100.00%,
daemon,[3. 4] ,40 ,10000,20,  83.856µs, 491.012µs, 218.361µs, 604.585µs, 935.493µs, 5.449ms, 147.522ms ,100.00%,
daemon,[3. 5] ,40 ,10000,20,  83.394µs, 523.484µs, 217.767µs, 605.751µs, 950.024µs, 6.64ms, 97.221ms ,100.00%,
daemon,[4. 1] ,40 ,20000,20,  77.985µs, 8.287ms, 352.251µs, 11.616ms, 49.667ms, 165.429ms, 568.124ms ,100.00%,
daemon,[4. 2] ,99 ,20000,20,  81.698µs, 5.069ms, 339.516µs, 5.734ms, 28.602ms, 110.853ms, 263.88ms ,100.00%,
daemon,[4. 3] ,99 ,20000,20,  86.815µs, 6.16ms, 353.324µs, 6.432ms, 31.961ms, 138.054ms, 327.032ms ,100.00%,
daemon,[4. 4] ,99 ,20000,20,  89.948µs, 5.848ms, 389.764µs, 6.225ms, 27.591ms, 138.931ms, 328.575ms ,100.00%,
daemon,[4. 5] ,99 ,20000,20,  99.682µs, 9.807ms, 520.124µs, 10.42ms, 63.798ms, 210.305ms, 489.204ms ,100.00%,
