,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Board,W680/MB DC
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-75-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_call_001_14M.tar
,,,,,,,,,,,,VegetaChecksum,09737  4892
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version, 
,,,,,,,,,,,,Erigon version,master f1a496375b16167442166c2d5c3a9c8425d47d4a


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
daemon,[1. 1] ,96 ,100,30,  30.622µs, 189.278µs, 179.02µs, 275.1µs, 319.562µs, 385.403µs, 16.551ms ,100.00%,
daemon,[1. 2] ,96 ,100,30,  29.735µs, 198.39µs, 187.73µs, 262.818µs, 302.611µs, 361.366µs, 14.241ms ,100.00%,
daemon,[1. 3] ,96 ,100,30,  35.783µs, 196.43µs, 178.779µs, 267.187µs, 308.342µs, 388.894µs, 9.792ms ,100.00%,
daemon,[1. 4] ,96 ,100,30,  41.768µs, 237.833µs, 218.542µs, 341.75µs, 390.341µs, 448.14µs, 15.198ms ,100.00%,
daemon,[1. 5] ,96 ,100,30,  32.751µs, 222.712µs, 211.328µs, 309.231µs, 352.573µs, 413.621µs, 12.315ms ,100.00%,
daemon,[2. 1] ,96 ,1000,20,  24.045µs, 78.649µs, 57.798µs, 136.821µs, 147.784µs, 173.876µs, 7.935ms ,100.00%,
daemon,[2. 2] ,96 ,1000,20,  24.129µs, 67.084µs, 44.059µs, 131.257µs, 139.221µs, 157.148µs, 775.096µs ,100.00%,
daemon,[2. 3] ,96 ,1000,20,  24.378µs, 70.332µs, 47.776µs, 132.679µs, 141.413µs, 159.817µs, 827.88µs ,100.00%,
daemon,[2. 4] ,96 ,1000,20,  24.32µs, 63.6µs, 43.658µs, 127.167µs, 136.102µs, 157.984µs, 1.294ms ,100.00%,
daemon,[2. 5] ,96 ,1000,20,  24.373µs, 67.648µs, 48.73µs, 129.501µs, 139.308µs, 161.936µs, 967.084µs ,100.00%,
daemon,[3. 1] ,96 ,10000,20,  25.078µs, 68.51µs, 63.986µs, 96.36µs, 112.019µs, 150.821µs, 1.579ms ,100.00%,
daemon,[3. 2] ,96 ,10000,20,  25.968µs, 68.538µs, 64.461µs, 94.061µs, 112.59µs, 151.697µs, 1.555ms ,100.00%,
daemon,[3. 3] ,96 ,10000,20,  26.074µs, 70.02µs, 63.805µs, 103.055µs, 123.091µs, 163.394µs, 1.724ms ,100.00%,
daemon,[3. 4] ,96 ,10000,20,  26.338µs, 69.576µs, 64.128µs, 100.086µs, 119.015µs, 156.54µs, 1.513ms ,100.00%,
daemon,[3. 5] ,96 ,10000,20,  26.046µs, 69.238µs, 64.407µs, 97.501µs, 113.166µs, 152.895µs, 2.954ms ,100.00%,
daemon,[4. 1] ,96 ,20000,20,  27.406µs, 75.326µs, 65.203µs, 114.537µs, 144.24µs, 197.017µs, 2.467ms ,100.00%,
daemon,[4. 2] ,96 ,20000,20,  25.556µs, 75.076µs, 65.183µs, 113.799µs, 143.432µs, 196.089µs, 1.751ms ,100.00%,
daemon,[4. 3] ,96 ,20000,20,  32.736µs, 122.024µs, 87.009µs, 215.385µs, 304.387µs, 507.01µs, 29.086ms ,100.00%,
daemon,[4. 4] ,96 ,20000,20,  32.064µs, 119.497µs, 86.01µs, 209.519µs, 295.075µs, 481.99µs, 31.591ms ,100.00%,
daemon,[4. 5] ,96 ,20000,20,  32.357µs, 120.08µs, 86.35µs, 212.024µs, 296.916µs, 488.891µs, 31.929ms ,100.00%,
