,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Product,System Product Name
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-75-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_call_001_14M.tar
,,,,,,,,,,,,VegetaChecksum,09737  4892
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version, 
,,,,,,,,,,,,Erigon version,master 05b4dfed11d6cb9c081d81c7654a1042d7741b32


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
daemon,[1. 1] ,95 ,100,30,  42.602µs, 331.191µs, 287.742µs, 548.781µs, 718.542µs, 1.439ms, 6.377ms ,100.00%,
daemon,[1. 2] ,95 ,100,30,  57.22µs, 291.057µs, 284.943µs, 374.18µs, 454.794µs, 613.982µs, 2.077ms ,100.00%,
daemon,[1. 3] ,95 ,100,30,  34.127µs, 289.572µs, 277.983µs, 405.397µs, 493.107µs, 701.963µs, 2.529ms ,100.00%,
daemon,[1. 4] ,95 ,100,30,  47.594µs, 441.769µs, 306.864µs, 870.989µs, 1.048ms, 1.903ms, 6.522ms ,100.00%,
daemon,[1. 5] ,95 ,100,30,  39.967µs, 278.893µs, 247.125µs, 380.312µs, 522.122µs, 1.114ms, 2.785ms ,100.00%,
daemon,[2. 1] ,95 ,1000,20,  30.886µs, 132.555µs, 99.689µs, 250.703µs, 317.591µs, 568.331µs, 20.583ms ,100.00%,
daemon,[2. 2] ,95 ,1000,20,  31.177µs, 132.328µs, 105.284µs, 239.946µs, 292.726µs, 464.163µs, 17.157ms ,100.00%,
daemon,[2. 3] ,95 ,1000,20,  31.481µs, 124.791µs, 91.877µs, 236.173µs, 300.077µs, 524.578µs, 18.561ms ,100.00%,
daemon,[2. 4] ,95 ,1000,20,  31.54µs, 115.341µs, 88.583µs, 219.766µs, 268.18µs, 423.117µs, 17.1ms ,100.00%,
daemon,[2. 5] ,95 ,1000,20,  31.095µs, 116.274µs, 84.492µs, 224.256µs, 283.673µs, 466.519µs, 17.075ms ,100.00%,
daemon,[3. 1] ,95 ,10000,20,  33.306µs, 126.369µs, 96.599µs, 206.569µs, 292.453µs, 473.495µs, 22.338ms ,100.00%,
daemon,[3. 2] ,95 ,10000,20,  34.103µs, 125.828µs, 95.873µs, 205.949µs, 291.93µs, 473.454µs, 18.846ms ,100.00%,
daemon,[3. 3] ,95 ,10000,20,  34.27µs, 126.661µs, 96.592µs, 207.554µs, 294.054µs, 475.926µs, 22.663ms ,100.00%,
daemon,[3. 4] ,95 ,10000,20,  33.979µs, 126.458µs, 96.602µs, 206.776µs, 292.099µs, 472.583µs, 21.566ms ,100.00%,
daemon,[3. 5] ,95 ,10000,20,  34.829µs, 125.456µs, 95.476µs, 207.792µs, 294.907µs, 473.701µs, 20.03ms ,100.00%,
daemon,[4. 1] ,95 ,20000,20,  33.1µs, 122.955µs, 88.355µs, 215.402µs, 307.081µs, 504.849µs, 32.582ms ,100.00%,
daemon,[4. 2] ,95 ,20000,20,  33.099µs, 122.033µs, 88.014µs, 214.239µs, 302.227µs, 496.404µs, 33.013ms ,100.00%,
daemon,[4. 3] ,95 ,20000,20,  32.686µs, 121.801µs, 87.811µs, 214.069µs, 302.008µs, 498.777µs, 29.764ms ,100.00%,
daemon,[4. 4] ,95 ,20000,20,  31.791µs, 122.285µs, 88.034µs, 215.762µs, 304.158µs, 498.942µs, 27.663ms ,100.00%,
daemon,[4. 5] ,95 ,20000,20,  33.444µs, 122.784µs, 87.834µs, 218.387µs, 307.617µs, 501.73µs, 27.702ms ,100.00%,
daemon,[5. 1] ,95 ,30000,20,  30.797µs, 124.41µs, 88.705µs, 221.354µs, 325.944µs, 539.725µs, 34.057ms ,100.00%,
daemon,[5. 2] ,95 ,30000,20,  31.272µs, 672.353µs, 93.412µs, 342.606µs, 660.512µs, 20.44ms, 94.433ms ,100.00%,
daemon,[5. 3] ,95 ,30000,20,  30.754µs, 126.051µs, 88.917µs, 224.368µs, 327.96µs, 558.218µs, 33.664ms ,100.00%,
daemon,[5. 4] ,95 ,30000,20,  30.815µs, 125.606µs, 88.879µs, 221.862µs, 326.095µs, 551.25µs, 33.954ms ,100.00%,
daemon,[5. 5] ,95 ,30000,20,  31.427µs, 125.954µs, 89.23µs, 223.256µs, 327.705µs, 552.637µs, 34.198ms ,100.00%,
