,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Product,System Product Name
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-75-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_call_001_14M.tar
,,,,,,,,,,,,VegetaChecksum,09737  4892
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version, 
,,,,,,,,,,,,Erigon version,master 05b4dfed11d6cb9c081d81c7654a1042d7741b32


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
daemon,[1. 1] ,39 ,100,30,  99.342µs, 904.717µs, 345.437µs, 2.17ms, 3.945ms, 7.666ms, 55.798ms ,100.00%,
daemon,[1. 2] ,39 ,100,30,  95.743µs, 335.986µs, 291.204µs, 508.226µs, 690.132µs, 1.017ms, 4.892ms ,100.00%,
daemon,[1. 3] ,39 ,100,30,  83.575µs, 335.27µs, 290.283µs, 517.881µs, 687.314µs, 1.051ms, 4.854ms ,100.00%,
daemon,[1. 4] ,39 ,100,30,  93.299µs, 312.767µs, 262.733µs, 538.129µs, 691.055µs, 1.055ms, 3.389ms ,100.00%,
daemon,[1. 5] ,39 ,100,30,  107.572µs, 325.134µs, 277.122µs, 450.587µs, 616.223µs, 973.981µs, 8.848ms ,100.00%,
daemon,[2. 1] ,39 ,1000,20,  83.35µs, 513.782µs, 203.482µs, 976.372µs, 2.191ms, 4.269ms, 276.497ms ,100.00%,
daemon,[2. 2] ,39 ,1000,20,  75.267µs, 218.069µs, 169.378µs, 364.112µs, 517.955µs, 822.905µs, 56.145ms ,100.00%,
daemon,[2. 3] ,39 ,1000,20,  91.441µs, 226.9µs, 177.238µs, 378.916µs, 542.07µs, 858.579µs, 52.372ms ,100.00%,
daemon,[2. 4] ,39 ,1000,20,  84.214µs, 342.704µs, 175.644µs, 382.139µs, 530.11µs, 1.023ms, 78.649ms ,100.00%,
daemon,[2. 5] ,39 ,1000,20,  83.292µs, 216.311µs, 168.863µs, 356.581µs, 517.162µs, 828.48µs, 48.675ms ,100.00%,
daemon,[3. 1] ,39 ,10000,20,  87.462µs, 482.552µs, 217.965µs, 597.222µs, 900.257µs, 4.692ms, 102.279ms ,100.00%,
daemon,[3. 2] ,39 ,10000,20,  86.54µs, 454.57µs, 220.743µs, 606.754µs, 929.993µs, 4.248ms, 103.951ms ,100.00%,
daemon,[3. 3] ,39 ,10000,20,  85.165µs, 467.38µs, 222.221µs, 617.033µs, 949.149µs, 4.927ms, 64.896ms ,100.00%,
daemon,[3. 4] ,50 ,10000,20,  83.711µs, 456.374µs, 219.176µs, 606.02µs, 937.498µs, 5.305ms, 182.523ms ,100.00%,
daemon,[3. 5] ,50 ,10000,20,  78.906µs, 328.93µs, 211.619µs, 564.146µs, 788.119µs, 2.416ms, 59.217ms ,100.00%,
daemon,[4. 1] ,50 ,20000,20,  80.075µs, 4.046ms, 322.13µs, 5.069ms, 23.8ms, 81.084ms, 268.447ms ,100.00%,
daemon,[4. 2] ,72 ,20000,20,  78.105µs, 5.471ms, 337.432µs, 6.511ms, 31.505ms, 116.454ms, 281.462ms ,100.00%,
daemon,[4. 3] ,72 ,20000,20,  85.822µs, 6.344ms, 359.522µs, 7.548ms, 37.92ms, 136.071ms, 401.114ms ,100.00%,
daemon,[4. 4] ,72 ,20000,20,  88.431µs, 7.245ms, 386.351µs, 6.4ms, 39.694ms, 165.666ms, 358.599ms ,100.00%,
daemon,[4. 5] ,72 ,20000,20,  93.512µs, 7.98ms, 435.141µs, 8.096ms, 46.904ms, 177.984ms, 388.147ms ,100.00%,
daemon,[5. 1] ,548 ,30000,20,  112.945µs, 4.682s, 4.161s, 9.269s, 10.002s, 10.653s, 11.315s ,100.00%,
daemon,[5. 2] ,550 ,30000,20,  238.329µs, 9.792s, 9.607s, 18.099s, 19.251s, 20.118s, 20.593s ,100.00%,
daemon,[5. 3] ,550 ,30000,20,  292.542µs, 15.336s, 15.049s, 28.692s, 30.54s, 32.001s, 32.533s ,100.00%,
daemon,[5. 4] ,550 ,30000,20,  320.633µs, 21.529s, 21.334s, 39.328s, 41.619s, 43.502s, 44.054s ,100.00%,
daemon,[5. 5] ,550 ,30000,20,  395.528µs, 27.444s, 26.841s, 50.936s, 54.122s, 56.89s, 57.547s ,100.00%,
