,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Board,W680/MB DC
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-91-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBlockByNumber_13M.tar
,,,,,,,,,,,,VegetaChecksum,59204    38
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 29b40fc5c4a8039503b7dd3912ebd8c1efd2202e
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,2045 ,100,30,  155.446µs, 4.195ms, 3.396ms, 7.231ms, 7.965ms, 17.777ms, 58.814ms ,100.00%,
silk,[1. 2] ,2045 ,100,30,  213.014µs, 4.461ms, 3.433ms, 7.099ms, 7.866ms, 48.579ms, 56.172ms ,100.00%,
silk,[1. 3] ,2045 ,100,30,  145.151µs, 4.43ms, 3.441ms, 7.092ms, 7.862ms, 47.579ms, 54.923ms ,100.00%,
silk,[2. 1] ,2045 ,1000,20,  38.684µs, 2.472ms, 1.276ms, 3.057ms, 3.94ms, 44.782ms, 51.225ms ,100.00%,
silk,[2. 2] ,2045 ,1000,20,  39.446µs, 2.553ms, 1.287ms, 3.081ms, 4.008ms, 45.466ms, 63.256ms ,100.00%,
silk,[2. 3] ,2045 ,1000,20,  33.553µs, 2.609ms, 1.314ms, 3.197ms, 4.123ms, 45.268ms, 52.28ms ,100.00%,
silk,[3. 1] ,2045 ,10000,20,  46.424µs, 601.391ms, 342.334ms, 905.416ms, 1.187s, 8.357s, 12.79s ,100.00%,
silk,[3. 2] ,2045 ,10000,20,  66.393µs, 819.436ms, 471.368ms, 1.202s, 1.511s, 11.564s, 14.292s ,100.00%,
silk,[3. 3] ,2045 ,10000,20,  62.777µs, 813.362ms, 457.188ms, 1.204s, 1.52s, 11.995s, 14.634s ,100.00%,
silk,[4. 1] ,2045 ,20000,20,  840.875µs, 11.25s, 11.166s, 20.681s, 21.868s, 22.804s, 41.884s ,100.00%,
silk,[4. 2] ,2045 ,20000,20,  929.185µs, 11.666s, 11.61s, 21.067s, 22.227s, 23.204s, 42.155s ,100.00%,
silk,[4. 3] ,2045 ,20000,20,  486.881µs, 11.591s, 11.535s, 21.013s, 22.213s, 23.216s, 42.067s ,100.00%,
rpcdaemon,[1. 1] ,2045 ,100,30,  198.152µs, 9.899ms, 8.718ms, 19.667ms, 22.174ms, 27.263ms, 33.603ms ,100.00%,
rpcdaemon,[1. 2] ,2045 ,100,30,  244.256µs, 9.969ms, 8.8ms, 19.953ms, 22.15ms, 25.781ms, 39.016ms ,100.00%,
rpcdaemon,[1. 3] ,2045 ,100,30,  196.137µs, 9.784ms, 8.575ms, 19.701ms, 21.8ms, 25.109ms, 36.671ms ,100.00%,
rpcdaemon,[2. 1] ,2045 ,1000,20,  157.508µs, 9.158ms, 6.285ms, 18.585ms, 29.14ms, 58.7ms, 125.604ms ,100.00%,
rpcdaemon,[2. 2] ,2045 ,1000,20,  164.186µs, 9.239ms, 6.59ms, 18.527ms, 30.167ms, 52.079ms, 123.019ms ,100.00%,
rpcdaemon,[2. 3] ,2045 ,1000,20,  171.276µs, 9.453ms, 6.539ms, 19.043ms, 30.454ms, 56.215ms, 154.383ms ,100.00%,
rpcdaemon,[3. 1] ,2045 ,10000,20,  801.665µs, 40.635s, 42.704s, 1m12s, 1m16s, 1m19s, 1m26s ,100.00%,
rpcdaemon,[3. 2] ,2045 ,10000,20,  524.215µs, 39.237s, 39.186s, 1m10s, 1m14s, 1m19s, 1m25s ,100.00%,
rpcdaemon,[3. 3] ,2045 ,10000,20,  1.536ms, 39.353s, 39.548s, 1m10s, 1m14s, 1m19s, 1m24s ,100.00%,
rpcdaemon,[4. 1] ,2045 ,20000,20,  1.677ms, 1m29s, 1m29s, 2m38s, 2m47s, 2m55s, 2m57s ,100.00%,
rpcdaemon,[4. 2] ,2045 ,20000,20,  3.091ms, 1m28s, 1m29s, 2m38s, 2m46s, 2m54s, 2m56s ,100.00%,
rpcdaemon,[4. 3] ,2045 ,20000,20,  1.861ms, 1m29s, 1m29s, 2m39s, 2m47s, 2m55s, 2m56s ,100.00%,
