,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Board,W680/MB DC
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-91-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getLogs_15M.tar
,,,,,,,,,,,,VegetaChecksum,05371  4990
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 29b40fc5c4a8039503b7dd3912ebd8c1efd2202e
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,405 ,100,30,  116.31µs, 1.044ms, 784.711µs, 1.334ms, 1.89ms, 6.793ms, 135.051ms ,100.00%,
silk,[1. 2] ,405 ,100,30,  102.672µs, 556.896µs, 366.786µs, 844.678µs, 1.272ms, 3.786ms, 17.799ms ,100.00%,
silk,[1. 3] ,405 ,100,30,  60.936µs, 528.921µs, 339.067µs, 840.666µs, 1.243ms, 3.709ms, 11.45ms ,100.00%,
silk,[2. 1] ,405 ,1000,20,  26.055µs, 519.881µs, 329.052µs, 792.715µs, 1.219ms, 3.721ms, 255.842ms ,100.00%,
silk,[2. 2] ,405 ,1000,20,  19.903µs, 362.602µs, 169.25µs, 617.846µs, 1.025ms, 3.289ms, 25.814ms ,100.00%,
silk,[2. 3] ,405 ,1000,20,  27.587µs, 370.378µs, 173.607µs, 629.049µs, 1.021ms, 3.232ms, 58.703ms ,100.00%,
silk,[3. 1] ,405 ,10000,20,  18.477µs, 749.339µs, 199.709µs, 1.205ms, 2.27ms, 9.517ms, 85.431ms ,100.00%,
silk,[3. 2] ,405 ,10000,20,  18.858µs, 347.225µs, 159.156µs, 607.768µs, 1.074ms, 3.75ms, 70.065ms ,100.00%,
silk,[3. 3] ,405 ,10000,20,  20.969µs, 352.181µs, 159.065µs, 619.664µs, 1.109ms, 3.83ms, 72.868ms ,100.00%,
silk,[4. 1] ,405 ,20000,20,  18.146µs, 263.196µs, 91.44µs, 467.34µs, 879.676µs, 3.411ms, 61.675ms ,100.00%,
silk,[4. 2] ,405 ,20000,20,  17.472µs, 291.765µs, 89.227µs, 554.39µs, 1.05ms, 3.706ms, 71.504ms ,100.00%,
silk,[4. 3] ,405 ,20000,20,  17.46µs, 279.18µs, 87.685µs, 527.925µs, 996.331µs, 3.675ms, 59.862ms ,100.00%,
rpcdaemon,[1. 1] ,405 ,100,30,  83.387µs, 1.945ms, 834.243µs, 5.166ms, 8.377ms, 19.087ms, 61.343ms ,100.00%,
rpcdaemon,[1. 2] ,405 ,100,30,  95.903µs, 1.757ms, 754.378µs, 4.651ms, 7.625ms, 16.077ms, 50.709ms ,100.00%,
rpcdaemon,[1. 3] ,405 ,100,30,  112.418µs, 1.89ms, 783.671µs, 5.055ms, 7.949ms, 19.333ms, 69.774ms ,100.00%,
rpcdaemon,[2. 1] ,405 ,1000,20,  61.146µs, 1.316ms, 431.472µs, 3.045ms, 5.872ms, 16.93ms, 88.225ms ,100.00%,
rpcdaemon,[2. 2] ,405 ,1000,20,  58.132µs, 1.304ms, 424.28µs, 3.011ms, 5.874ms, 17.167ms, 94.994ms ,100.00%,
rpcdaemon,[2. 3] ,405 ,1000,20,  59.226µs, 1.301ms, 422.812µs, 2.966ms, 5.889ms, 17.189ms, 88.928ms ,100.00%,
rpcdaemon,[3. 1] ,405 ,10000,20,  56.927µs, 3.425ms, 254.457µs, 7.692ms, 16.563ms, 52.155ms, 413.553ms ,100.00%,
rpcdaemon,[3. 2] ,407 ,10000,20,  59.112µs, 3.059ms, 253.527µs, 6.986ms, 14.225ms, 47.591ms, 384.028ms ,100.00%,
rpcdaemon,[3. 3] ,1558 ,10000,20,  137.355µs, 594.989ms, 177.817ms, 1.863s, 2.218s, 3.738s, 8.11s ,100.00%,
rpcdaemon,[4. 1] ,1582 ,20000,20,  195.467µs, 7.366s, 7.574s, 11.781s, 12.558s, 13.862s, 18.461s ,100.00%,
rpcdaemon,[4. 2] ,2045 ,20000,20,  177.532µs, 9.095s, 9.591s, 15.348s, 15.987s, 17.253s, 21.077s ,100.00%,
rpcdaemon,[4. 3] ,2045 ,20000,20,  67.054µs, 4.079s, 4.036s, 7.828s, 8.454s, 9.731s, 14.463s ,100.00%,
