,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Board,W680/MB DC
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-91-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getTransactionByHash_13M.tar
,,,,,,,,,,,,VegetaChecksum,04125  1681
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 29b40fc5c4a8039503b7dd3912ebd8c1efd2202e
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,2045 ,100,30,  5.24ms, 7.553ms, 7.279ms, 9.109ms, 9.815ms, 11.523ms, 20.811ms ,100.00%,
silk,[1. 2] ,2045 ,100,30,  329.942µs, 1.048ms, 949.971µs, 1.54ms, 1.881ms, 2.346ms, 3.648ms ,100.00%,
silk,[1. 3] ,2045 ,100,30,  277.489µs, 1.088ms, 1.021ms, 1.564ms, 1.872ms, 2.305ms, 3.282ms ,100.00%,
silk,[2. 1] ,2045 ,1000,20,  346.766µs, 5.336ms, 5.304ms, 8.325ms, 10.254ms, 13.403ms, 20.492ms ,100.00%,
silk,[2. 2] ,2045 ,1000,20,  144.081µs, 792.931µs, 655.632µs, 1.253ms, 1.577ms, 2.079ms, 6.373ms ,100.00%,
silk,[2. 3] ,2045 ,1000,20,  155.569µs, 795.959µs, 668.741µs, 1.248ms, 1.569ms, 2.067ms, 5.527ms ,100.00%,
silk,[3. 1] ,2045 ,10000,20,  105.698µs, 4.004ms, 812.836µs, 5.071ms, 6.321ms, 58.78ms, 334.347ms ,100.00%,
silk,[3. 2] ,2045 ,10000,20,  104.615µs, 251.951µs, 190.682µs, 450.264µs, 550.617µs, 785.087µs, 2.187ms ,100.00%,
silk,[3. 3] ,2045 ,10000,20,  101.508µs, 241.785µs, 189.435µs, 415.34µs, 515.406µs, 748.619µs, 2.754ms ,100.00%,
rpcdaemon,[1. 1] ,2045 ,100,30,  456.02µs, 1.488ms, 1.398ms, 1.898ms, 2.16ms, 2.924ms, 9.034ms ,100.00%,
rpcdaemon,[1. 2] ,2045 ,100,30,  319.912µs, 1.284ms, 1.2ms, 1.656ms, 1.836ms, 2.495ms, 7.575ms ,100.00%,
rpcdaemon,[1. 3] ,2045 ,100,30,  290.737µs, 1.281ms, 1.22ms, 1.656ms, 1.85ms, 2.491ms, 8.054ms ,100.00%,
rpcdaemon,[2. 1] ,2045 ,1000,20,  220.274µs, 1.24ms, 1.07ms, 1.736ms, 2.092ms, 4.244ms, 10.668ms ,100.00%,
rpcdaemon,[2. 2] ,2045 ,1000,20,  176.488µs, 1.159ms, 981.136µs, 1.609ms, 1.993ms, 4.642ms, 12.316ms ,100.00%,
rpcdaemon,[2. 3] ,2045 ,1000,20,  166.04µs, 1.145ms, 978.806µs, 1.589ms, 1.967ms, 4.58ms, 11.356ms ,100.00%,
rpcdaemon,[3. 1] ,2045 ,10000,20,  136.616µs, 3.847ms, 679.77µs, 10.131ms, 16.935ms, 47.456ms, 155.204ms ,100.00%,
rpcdaemon,[3. 2] ,2045 ,10000,20,  132.358µs, 3.02ms, 710.238µs, 8.665ms, 14.166ms, 31.08ms, 87.598ms ,100.00%,
rpcdaemon,[3. 3] ,2045 ,10000,20,  128.549µs, 3.616ms, 543.96µs, 9.17ms, 14.708ms, 48.558ms, 183.937ms ,100.00%,
