,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.2.0-34-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_call_001_14M.tar
,,,,,,,,,,,,VegetaChecksum,48619 47730
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.19 linux/amd64
,,,,,,,,,,,,Silkrpc version,remove_rpc_test e956857b0d1e54b81ef7611015d574f0f438f2ac
,,,,,,,,,,,,Erigon version,fix_set_coors_crash 674b77f08d71e834c3908d967482b6136c370ebd


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silkrpc,[1. 1] ,225 ,1,1,  3.409ms, 3.409ms, 3.409ms, 3.409ms, 3.409ms, 3.409ms, 3.409ms ,100.00%,
rpcdaemon,[1. 1] ,225 ,1,1,  16.33ms, 16.33ms, 16.33ms, 16.33ms, 16.33ms, 16.33ms, 16.33ms ,100.00%,
