,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.5.0-26-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBalance_15M.tar
,,,,,,,,,,,,VegetaChecksum,18776  5268
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 9bbb4054047972e245d2153659177084ebe270b9
,,,,,,,,,,,,Erigon version, 0f0a445216b7d33bd189a2de328ff1b16eb21b89


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,74 ,1,1,  176.09ms, 176.09ms, 176.09ms, 176.09ms, 176.09ms, 176.09ms, 176.09ms ,100.00%,
silk,[1. 2] ,74 ,1,1,  19.294ms, 19.294ms, 19.294ms, 19.294ms, 19.294ms, 19.294ms, 19.294ms ,100.00%,
silk,[1. 3] ,76 ,1,1,  13.893ms, 13.893ms, 13.893ms, 13.893ms, 13.893ms, 13.893ms, 13.893ms ,100.00%,
silk,[1. 4] ,74 ,1,1,  18.753ms, 18.753ms, 18.753ms, 18.753ms, 18.753ms, 18.753ms, 18.753ms ,100.00%,
silk,[1. 5] ,74 ,1,1,  12.173ms, 12.173ms, 12.173ms, 12.173ms, 12.173ms, 12.173ms, 12.173ms ,100.00%,
silk,[2. 1] ,74 ,50,30,  142.229µs, 1.731ms, 1.728ms, 3.24ms, 3.65ms, 4.559ms, 25.467ms ,100.00%,
silk,[2. 2] ,78 ,50,30,  142.661µs, 256.901µs, 169.906µs, 295.621µs, 343.793µs, 669.081µs, 14.836ms ,100.00%,
silk,[2. 3] ,74 ,50,30,  147.073µs, 255.392µs, 185.167µs, 324.689µs, 419.184µs, 683.902µs, 8.857ms ,100.00%,
silk,[2. 4] ,74 ,50,30,  143.07µs, 243.427µs, 264.023µs, 302.219µs, 335.092µs, 590.529µs, 759.403µs ,100.00%,
silk,[2. 5] ,74 ,50,30,  142.335µs, 284.501µs, 247.923µs, 291.759µs, 456.974µs, 759.429µs, 14.017ms ,100.00%,
silk,[3. 1] ,74 ,1000,20,  123.147µs, 932.273µs, 597.8µs, 2.201ms, 2.547ms, 3.839ms, 26.171ms ,100.00%,
silk,[3. 2] ,76 ,1000,20,  121.827µs, 160.519µs, 143.598µs, 160.876µs, 176.349µs, 468.472µs, 10.37ms ,100.00%,
silk,[3. 3] ,74 ,1000,20,  123.092µs, 150.384µs, 140.977µs, 157.335µs, 168.419µs, 438.771µs, 7.826ms ,100.00%,
silk,[3. 4] ,74 ,1000,20,  122.106µs, 150.011µs, 139.355µs, 152.437µs, 171.164µs, 441.967µs, 7.068ms ,100.00%,
silk,[3. 5] ,74 ,1000,20,  122.265µs, 148.905µs, 139.823µs, 151.52µs, 160.266µs, 444.245µs, 5.924ms ,100.00%,
silk,[4. 1] ,74 ,2500,20,  120.401µs, 635.301µs, 149.565µs, 1.778ms, 2.447ms, 5.182ms, 15.61ms ,100.00%,
silk,[4. 2] ,74 ,2500,20,  118.956µs, 155.596µs, 137.132µs, 153.111µs, 175.329µs, 510.337µs, 9.234ms ,100.00%,
silk,[4. 3] ,74 ,2500,20,  120.688µs, 153.76µs, 136.632µs, 148.279µs, 162.663µs, 491.519µs, 8.175ms ,100.00%,
silk,[4. 4] ,74 ,2500,20,  119.245µs, 152.975µs, 137.219µs, 148.537µs, 160.892µs, 484.879µs, 7.783ms ,100.00%,
silk,[4. 5] ,74 ,2500,20,  120.024µs, 154.396µs, 136.65µs, 150.925µs, 169.808µs, 476.778µs, 7.757ms ,100.00%,
silk,[5. 1] ,74 ,10000,20,  117.289µs, 16.228ms, 185.289µs, 29.979ms, 97.809ms, 189.075ms, 1.043s ,100.00%,
silk,[5. 2] ,74 ,10000,20,  115.431µs, 301.735µs, 149.673µs, 447.737µs, 860.536µs, 2.838ms, 36.981ms ,100.00%,
silk,[5. 3] ,74 ,10000,20,  117.095µs, 238.707µs, 144.201µs, 301.82µs, 569.919µs, 2.085ms, 23.733ms ,100.00%,
silk,[5. 4] ,74 ,10000,20,  117.478µs, 366.435µs, 159.389µs, 580.675µs, 1.246ms, 4.173ms, 23.039ms ,100.00%,
silk,[5. 5] ,76 ,10000,20,  116.778µs, 480.202µs, 175.512µs, 735.474µs, 1.604ms, 6.504ms, 37.325ms ,100.00%,
rpcdaemon,[1. 1] ,76 ,1,1,  432.809ms, 432.809ms, 432.809ms, 432.809ms, 432.809ms, 432.809ms, 432.809ms ,100.00%,
rpcdaemon,[1. 2] ,76 ,1,1,  9.833ms, 9.833ms, 9.833ms, 9.833ms, 9.833ms, 9.833ms, 9.833ms ,100.00%,
rpcdaemon,[1. 3] ,74 ,1,1,  742.093µs, 742.093µs, 742.093µs, 742.093µs, 742.093µs, 742.093µs, 742.093µs ,100.00%,
rpcdaemon,[1. 4] ,74 ,1,1,  8.118ms, 8.118ms, 8.118ms, 8.118ms, 8.118ms, 8.118ms, 8.118ms ,100.00%,
rpcdaemon,[1. 5] ,74 ,1,1,  8.071ms, 8.071ms, 8.071ms, 8.071ms, 8.071ms, 8.071ms, 8.071ms ,100.00%,
rpcdaemon,[2. 1] ,74 ,50,30,  241.926µs, 510.877µs, 376.992µs, 529.055µs, 603.762µs, 7.588ms, 26.529ms ,100.00%,
rpcdaemon,[2. 2] ,74 ,50,30,  234.327µs, 542.387µs, 278.31µs, 507.891µs, 674.501µs, 7.668ms, 13.074ms ,100.00%,
rpcdaemon,[2. 3] ,74 ,50,30,  229.021µs, 338.368µs, 257.03µs, 291.537µs, 379.836µs, 1.703ms, 8.987ms ,100.00%,
rpcdaemon,[2. 4] ,74 ,50,30,  221.481µs, 303.214µs, 263.016µs, 338.836µs, 412.088µs, 649.511µs, 7.767ms ,100.00%,
rpcdaemon,[2. 5] ,74 ,50,30,  233.36µs, 544.726µs, 281.13µs, 522.387µs, 635.647µs, 7.663ms, 7.801ms ,100.00%,
rpcdaemon,[3. 1] ,74 ,1000,20,  205.967µs, 302.972µs, 244.955µs, 393.301µs, 496.328µs, 701.554µs, 17.528ms ,100.00%,
rpcdaemon,[3. 2] ,74 ,1000,20,  208.27µs, 271.857µs, 242.332µs, 265.596µs, 280.336µs, 574.985µs, 23.23ms ,100.00%,
rpcdaemon,[3. 3] ,74 ,1000,20,  207.639µs, 267.535µs, 242.488µs, 261.858µs, 272.719µs, 575.09µs, 7.97ms ,100.00%,
