,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.5.0-26-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBlockByHash_14M.tar
,,,,,,,,,,,,VegetaChecksum,11574   249
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,remove_http_compression_flag 0bef961628dafa7db3cdd0621429426fcac7ff5f
,,,,,,,,,,,,Erigon version, 0f0a445216b7d33bd189a2de328ff1b16eb21b89


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,28 ,1,1,  185.772ms, 185.772ms, 185.772ms, 185.772ms, 185.772ms, 185.772ms, 185.772ms ,100.00%,
silk,[1. 2] ,28 ,1,1,  6.071ms, 6.071ms, 6.071ms, 6.071ms, 6.071ms, 6.071ms, 6.071ms ,100.00%,
silk,[1. 3] ,28 ,1,1,  5.756ms, 5.756ms, 5.756ms, 5.756ms, 5.756ms, 5.756ms, 5.756ms ,100.00%,
silk,[1. 4] ,28 ,1,1,  6.407ms, 6.407ms, 6.407ms, 6.407ms, 6.407ms, 6.407ms, 6.407ms ,100.00%,
silk,[1. 5] ,29 ,1,1,  5.947ms, 5.947ms, 5.947ms, 5.947ms, 5.947ms, 5.947ms, 5.947ms ,100.00%,
silk,[2. 1] ,29 ,50,30,  564.459µs, 13.734ms, 11.74ms, 25.92ms, 29.419ms, 38.195ms, 118.479ms ,100.00%,
silk,[2. 2] ,29 ,50,30,  254.443µs, 10.477ms, 9.014ms, 20.276ms, 23.292ms, 30.063ms, 45.395ms ,100.00%,
silk,[2. 3] ,29 ,50,30,  248.305µs, 10.073ms, 8.771ms, 19.329ms, 21.86ms, 27.961ms, 47.38ms ,100.00%,
silk,[2. 4] ,29 ,50,30,  257.12µs, 10.12ms, 8.781ms, 19.371ms, 22.049ms, 27.425ms, 43.437ms ,100.00%,
silk,[2. 5] ,29 ,50,30,  223.492µs, 10.102ms, 8.751ms, 19.382ms, 22.427ms, 28.809ms, 44.604ms ,100.00%,
silk,[3. 1] ,29 ,400,20,  214.128µs, 16.948ms, 14.689ms, 32.728ms, 40.575ms, 64.164ms, 113.013ms ,100.00%,
silk,[3. 2] ,29 ,400,20,  222.395µs, 15.706ms, 13.97ms, 29.676ms, 36.324ms, 52.811ms, 112.315ms ,100.00%,
silk,[3. 3] ,29 ,400,20,  223.46µs, 20.05ms, 16.451ms, 41.237ms, 54.067ms, 81.163ms, 202.03ms ,100.00%,
silk,[3. 4] ,29 ,400,20,  233.47µs, 16.629ms, 14.585ms, 31.992ms, 39.936ms, 63.621ms, 120.566ms ,100.00%,
silk,[3. 5] ,29 ,400,20,  216.577µs, 15.703ms, 14.24ms, 29.659ms, 35.623ms, 49.616ms, 104.213ms ,100.00%,
silk,[4. 1] ,29 ,800,20,  239.291µs, 2.561s, 760.679ms, 10.317s, 13.576s, 16.304s, 17.051s ,100.00%,
silk,[4. 2] ,29 ,800,20,  240.385µs, 2.855s, 807.281ms, 10.353s, 13.323s, 16.125s, 17.42s ,100.00%,
silk,[4. 3] ,29 ,800,20,  290.471µs, 2.723s, 786.926ms, 10.527s, 13.678s, 16.448s, 17.797s ,100.00%,
silk,[4. 4] ,29 ,800,20,  332.653µs, 2.588s, 765.493ms, 10.6s, 13.357s, 16.033s, 17.749s ,100.00%,
silk,[4. 5] ,29 ,800,20,  264.214µs, 2.84s, 794.05ms, 10.672s, 13.749s, 16.406s, 17.532s ,100.00%,
rpcdaemon,[1. 1] ,29 ,1,1,  533.661ms, 533.661ms, 533.661ms, 533.661ms, 533.661ms, 533.661ms, 533.661ms ,100.00%,
rpcdaemon,[1. 2] ,29 ,1,1,  15.271ms, 15.271ms, 15.271ms, 15.271ms, 15.271ms, 15.271ms, 15.271ms ,100.00%,
rpcdaemon,[1. 3] ,29 ,1,1,  7.43ms, 7.43ms, 7.43ms, 7.43ms, 7.43ms, 7.43ms, 7.43ms ,100.00%,
rpcdaemon,[1. 4] ,29 ,1,1,  14.814ms, 14.814ms, 14.814ms, 14.814ms, 14.814ms, 14.814ms, 14.814ms ,100.00%,
rpcdaemon,[1. 5] ,29 ,1,1,  7.428ms, 7.428ms, 7.428ms, 7.428ms, 7.428ms, 7.428ms, 7.428ms ,100.00%,
rpcdaemon,[2. 1] ,29 ,50,30,  411.561µs, 17.728ms, 13.257ms, 28.195ms, 31.285ms, 154.049ms, 403.138ms ,100.00%,
rpcdaemon,[2. 2] ,29 ,50,30,  393.662µs, 15.943ms, 12.507ms, 26.852ms, 29.564ms, 91.501ms, 325.512ms ,100.00%,
rpcdaemon,[2. 3] ,29 ,50,30,  402.222µs, 14.257ms, 12.582ms, 26.608ms, 29.103ms, 36.705ms, 55.307ms ,100.00%,
rpcdaemon,[2. 4] ,29 ,50,30,  395.153µs, 14.076ms, 12.358ms, 26.426ms, 29.048ms, 35.423ms, 55.173ms ,100.00%,
rpcdaemon,[2. 5] ,29 ,50,30,  390.42µs, 14.056ms, 12.429ms, 26.401ms, 28.771ms, 38.847ms, 51.693ms ,100.00%,
rpcdaemon,[3. 1] ,32 ,400,20,  439.201µs, 866.37ms, 674.237ms, 1.807s, 1.885s, 1.943s, 1.981s ,100.00%,
rpcdaemon,[3. 2] ,32 ,400,20,  592.6µs, 1.075s, 1.401s, 1.9s, 2.061s, 2.141s, 2.176s ,100.00%,
rpcdaemon,[3. 3] ,32 ,400,20,  412.5µs, 215.517ms, 165.913ms, 453.368ms, 558.813ms, 715.407ms, 762.432ms ,100.00%,
rpcdaemon,[3. 4] ,32 ,400,20,  486.08µs, 371.016ms, 329.896ms, 704.524ms, 841.495ms, 893.527ms, 1.611s ,100.00%,
rpcdaemon,[3. 5] ,32 ,400,20,  407.861µs, 318.916ms, 308.682ms, 615.71ms, 666.29ms, 746.606ms, 983.689ms ,100.00%,
rpcdaemon,[4. 1] ,32 ,800,20,  2.696ms, 16.687s, 14.877s, 34.409s, 35.485s, 36.883s, 37.124s ,100.00%,
rpcdaemon,[4. 2] ,32 ,800,20,  717.325ms, 15.47s, 12.263s, 30.269s, 31.38s, 32.297s, 32.962s ,100.00%,
rpcdaemon,[4. 3] ,32 ,800,20,  3.072ms, 11.307s, 10.892s, 21.248s, 22.265s, 23.604s, 23.841s ,100.00%,
