,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.5.0-26-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getBlockByNumber_13M.tar
,,,,,,,,,,,,VegetaChecksum,59204    38
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,remove_http_compression_flag 0bef961628dafa7db3cdd0621429426fcac7ff5f
,,,,,,,,,,,,Erigon version, 0f0a445216b7d33bd189a2de328ff1b16eb21b89


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,29 ,1,1,  108.94ms, 108.94ms, 108.94ms, 108.94ms, 108.94ms, 108.94ms, 108.94ms ,100.00%,
silk,[1. 2] ,29 ,1,1,  4.804ms, 4.804ms, 4.804ms, 4.804ms, 4.804ms, 4.804ms, 4.804ms ,100.00%,
silk,[1. 3] ,29 ,1,1,  98.627ms, 98.627ms, 98.627ms, 98.627ms, 98.627ms, 98.627ms, 98.627ms ,100.00%,
silk,[1. 4] ,29 ,1,1,  1.619ms, 1.619ms, 1.619ms, 1.619ms, 1.619ms, 1.619ms, 1.619ms ,100.00%,
silk,[1. 5] ,29 ,1,1,  4.583ms, 4.583ms, 4.583ms, 4.583ms, 4.583ms, 4.583ms, 4.583ms ,100.00%,
silk,[2. 1] ,29 ,50,30,  294.054µs, 9.73ms, 8.394ms, 18.653ms, 20.836ms, 25.651ms, 110.459ms ,100.00%,
silk,[2. 2] ,29 ,50,30,  271.247µs, 9.485ms, 8.188ms, 18.184ms, 20.107ms, 25.023ms, 92.027ms ,100.00%,
silk,[2. 3] ,29 ,50,30,  276.056µs, 8.579ms, 7.518ms, 16.867ms, 18.329ms, 21.956ms, 38.693ms ,100.00%,
silk,[2. 4] ,29 ,50,30,  298.054µs, 8.466ms, 7.434ms, 16.548ms, 18.129ms, 22.375ms, 38.254ms ,100.00%,
silk,[2. 5] ,29 ,50,30,  280.287µs, 8.603ms, 7.526ms, 16.689ms, 18.331ms, 22.111ms, 38.562ms ,100.00%,
silk,[3. 1] ,29 ,400,20,  221.011µs, 15.457ms, 13.331ms, 30.062ms, 38.495ms, 57.094ms, 129.839ms ,100.00%,
silk,[3. 2] ,29 ,400,20,  230.939µs, 15.702ms, 13.848ms, 30.28ms, 37.905ms, 54.693ms, 136.179ms ,100.00%,
silk,[3. 3] ,29 ,400,20,  238.641µs, 13.823ms, 12.535ms, 25.951ms, 31.695ms, 45.491ms, 87.593ms ,100.00%,
silk,[3. 4] ,29 ,400,20,  229.41µs, 14.026ms, 12.933ms, 26.182ms, 31.546ms, 43.861ms, 72.997ms ,100.00%,
silk,[3. 5] ,29 ,400,20,  208.494µs, 13.625ms, 12.623ms, 25.307ms, 29.891ms, 41.426ms, 80.997ms ,100.00%,
silk,[4. 1] ,29 ,800,20,  337.385µs, 1.999s, 724.025ms, 8.13s, 10.527s, 13.133s, 15.51s ,100.00%,
silk,[4. 2] ,29 ,800,20,  284.092µs, 2.317s, 718.285ms, 8.619s, 12.533s, 15.006s, 15.711s ,100.00%,
silk,[4. 3] ,29 ,800,20,  257.849µs, 2.645s, 746.814ms, 10.555s, 13.561s, 15.429s, 16.389s ,100.00%,
silk,[4. 4] ,29 ,800,20,  559.682µs, 2.761s, 779.95ms, 11.069s, 13.287s, 15.101s, 15.775s ,100.00%,
silk,[4. 5] ,29 ,800,20,  351.626µs, 3.018s, 769.307ms, 11.403s, 13.998s, 15.904s, 16.977s ,100.00%,
rpcdaemon,[1. 1] ,29 ,1,1,  1.132s, 1.132s, 1.132s, 1.132s, 1.132s, 1.132s, 1.132s ,100.00%,
rpcdaemon,[1. 2] ,29 ,1,1,  11.6ms, 11.6ms, 11.6ms, 11.6ms, 11.6ms, 11.6ms, 11.6ms ,100.00%,
rpcdaemon,[1. 3] ,29 ,1,1,  11.486ms, 11.486ms, 11.486ms, 11.486ms, 11.486ms, 11.486ms, 11.486ms ,100.00%,
rpcdaemon,[1. 4] ,29 ,1,1,  30.474ms, 30.474ms, 30.474ms, 30.474ms, 30.474ms, 30.474ms, 30.474ms ,100.00%,
rpcdaemon,[1. 5] ,29 ,1,1,  10.904ms, 10.904ms, 10.904ms, 10.904ms, 10.904ms, 10.904ms, 10.904ms ,100.00%,
rpcdaemon,[2. 1] ,29 ,50,30,  494.967µs, 21.241ms, 13.65ms, 32.67ms, 52.994ms, 210.522ms, 465.288ms ,100.00%,
rpcdaemon,[2. 2] ,29 ,50,30,  459.961µs, 17.239ms, 12.511ms, 27.908ms, 32.975ms, 156.59ms, 396.681ms ,100.00%,
rpcdaemon,[2. 3] ,29 ,50,30,  465.676µs, 14.092ms, 11.94ms, 26.056ms, 29.302ms, 56.596ms, 137.748ms ,100.00%,
rpcdaemon,[2. 4] ,29 ,50,30,  482.683µs, 13.176ms, 11.507ms, 25.303ms, 28.271ms, 38.005ms, 62.912ms ,100.00%,
rpcdaemon,[2. 5] ,29 ,50,30,  479.496µs, 12.472ms, 11.038ms, 23.823ms, 26.332ms, 34.035ms, 60.479ms ,100.00%,
rpcdaemon,[3. 1] ,31 ,400,20,  399.232µs, 1.616s, 1.206s, 3.307s, 3.713s, 3.781s, 3.84s ,100.00%,
rpcdaemon,[3. 2] ,32 ,400,20,  376.09µs, 1.317s, 1.28s, 2.328s, 2.372s, 2.447s, 4.234s ,100.00%,
rpcdaemon,[3. 3] ,32 ,400,20,  445.027µs, 273.649ms, 255.892ms, 539.585ms, 635.241ms, 682.73ms, 1.174s ,100.00%,
rpcdaemon,[3. 4] ,32 ,400,20,  500.584µs, 502.361ms, 556.525ms, 913.547ms, 1.007s, 1.089s, 1.162s ,100.00%,
rpcdaemon,[3. 5] ,32 ,400,20,  422.219µs, 517.199ms, 555.519ms, 863.214ms, 918.283ms, 971.121ms, 1.788s ,100.00%,
rpcdaemon,[4. 1] ,32 ,800,20,  3.564ms, 17.434s, 16.697s, 33.498s, 36.349s, 38.332s, 38.732s ,100.00%,
rpcdaemon,[4. 2] ,32 ,800,20,  10.758ms, 18.91s, 15.69s, 38.039s, 42.254s, 47.372s, 47.988s ,100.00%,
rpcdaemon,[4. 3] ,38 ,800,20,  6.555ms, 37.494s, 41.597s, 1m8s, 1m12s, 1m17s, 1m19s ,100.00%,
