,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.5.0-26-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getLogs_15M.tar
,,,,,,,,,,,,VegetaChecksum,05371  4990
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 9bbb4054047972e245d2153659177084ebe270b9
,,,,,,,,,,,,Erigon version, 0f0a445216b7d33bd189a2de328ff1b16eb21b89


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,29 ,1,1,  30.363ms, 30.363ms, 30.363ms, 30.363ms, 30.363ms, 30.363ms, 30.363ms ,100.00%,
silk,[1. 2] ,29 ,1,1,  1.338ms, 1.338ms, 1.338ms, 1.338ms, 1.338ms, 1.338ms, 1.338ms ,100.00%,
silk,[1. 3] ,29 ,1,1,  1.447ms, 1.447ms, 1.447ms, 1.447ms, 1.447ms, 1.447ms, 1.447ms ,100.00%,
silk,[1. 4] ,29 ,1,1,  841.584µs, 841.584µs, 841.584µs, 841.584µs, 841.584µs, 841.584µs, 841.584µs ,100.00%,
silk,[1. 5] ,29 ,1,1,  692.153µs, 692.153µs, 692.153µs, 692.153µs, 692.153µs, 692.153µs, 692.153µs ,100.00%,
silk,[2. 1] ,29 ,50,30,  287.319µs, 2.108ms, 1.315ms, 2.093ms, 2.858ms, 16.96ms, 237.084ms ,100.00%,
silk,[2. 2] ,29 ,50,30,  234.013µs, 488.813µs, 309.386µs, 773.04µs, 1.145ms, 4.229ms, 11.285ms ,100.00%,
silk,[2. 3] ,29 ,50,30,  224.647µs, 917.072µs, 355.335µs, 1.24ms, 2.14ms, 9.058ms, 60.762ms ,100.00%,
silk,[2. 4] ,29 ,50,30,  218.418µs, 957.493µs, 880.488µs, 1.397ms, 1.816ms, 4.933ms, 18.097ms ,100.00%,
silk,[2. 5] ,29 ,50,30,  223.108µs, 697.77µs, 450.555µs, 1.127ms, 1.639ms, 5.584ms, 15.582ms ,100.00%,
silk,[3. 1] ,29 ,1000,20,  159.038µs, 1.765ms, 855.966µs, 2.597ms, 4.523ms, 14.943ms, 590.808ms ,100.00%,
silk,[3. 2] ,29 ,1000,20,  149.602µs, 760.84µs, 277.068µs, 1.292ms, 2.424ms, 8.68ms, 133.462ms ,100.00%,
silk,[3. 3] ,29 ,1000,20,  128.811µs, 502.119µs, 209.467µs, 825.988µs, 1.371ms, 4.723ms, 109.018ms ,100.00%,
silk,[3. 4] ,29 ,1000,20,  138.802µs, 816.086µs, 209.083µs, 1.002ms, 2.077ms, 11.679ms, 136.305ms ,100.00%,
silk,[3. 5] ,29 ,1000,20,  136.721µs, 524.942µs, 190.748µs, 832.555µs, 1.453ms, 5.62ms, 102.305ms ,100.00%,
silk,[4. 1] ,29 ,2500,20,  133.407µs, 1.151ms, 513.843µs, 2.091ms, 3.552ms, 11.964ms, 259.485ms ,100.00%,
silk,[4. 2] ,29 ,2500,20,  128.468µs, 908.492µs, 211.814µs, 1.501ms, 2.717ms, 9.468ms, 206.33ms ,100.00%,
silk,[4. 3] ,29 ,2500,20,  127.168µs, 572.825µs, 188.509µs, 903.189µs, 1.699ms, 6.514ms, 206.999ms ,100.00%,
silk,[4. 4] ,29 ,2500,20,  128.31µs, 764.208µs, 193.435µs, 1.21ms, 2.48ms, 9.267ms, 243.342ms ,100.00%,
silk,[4. 5] ,29 ,2500,20,  123.075µs, 714.171µs, 195.846µs, 1.139ms, 2.242ms, 8.827ms, 226.789ms ,100.00%,
rpcdaemon,[1. 1] ,29 ,1,1,  575.849ms, 575.849ms, 575.849ms, 575.849ms, 575.849ms, 575.849ms, 575.849ms ,100.00%,
rpcdaemon,[1. 2] ,29 ,1,1,  8.667ms, 8.667ms, 8.667ms, 8.667ms, 8.667ms, 8.667ms, 8.667ms ,100.00%,
rpcdaemon,[1. 3] ,29 ,1,1,  9.413ms, 9.413ms, 9.413ms, 9.413ms, 9.413ms, 9.413ms, 9.413ms ,100.00%,
rpcdaemon,[1. 4] ,29 ,1,1,  8.4ms, 8.4ms, 8.4ms, 8.4ms, 8.4ms, 8.4ms, 8.4ms ,100.00%,
rpcdaemon,[1. 5] ,29 ,1,1,  21.023ms, 21.023ms, 21.023ms, 21.023ms, 21.023ms, 21.023ms, 21.023ms ,100.00%,
rpcdaemon,[2. 1] ,29 ,50,30,  359.057µs, 2.402ms, 512.561µs, 4.054ms, 7.549ms, 38.034ms, 258.071ms ,100.00%,
rpcdaemon,[2. 2] ,33 ,50,30,  433.605µs, 4.713ms, 1.304ms, 8.529ms, 17.333ms, 91.41ms, 173.214ms ,100.00%,
rpcdaemon,[2. 3] ,39 ,50,30,  535.05µs, 4.421ms, 1.443ms, 6.956ms, 12.842ms, 77.299ms, 188.427ms ,100.00%,
rpcdaemon,[2. 4] ,41 ,50,30,  510.354µs, 6.328ms, 1.474ms, 12.084ms, 24.464ms, 107.19ms, 232.344ms ,100.00%,
rpcdaemon,[2. 5] ,29 ,50,30,  313.019µs, 4.699ms, 972.505µs, 8.139ms, 18.602ms, 66.926ms, 487.132ms ,100.00%,
rpcdaemon,[3. 1] ,41 ,1000,20,  220.312µs, 79.457ms, 762.111µs, 178.98ms, 401.297ms, 1.334s, 11.249s ,100.00%,
rpcdaemon,[3. 2] ,41 ,1000,20,  212.025µs, 17.071ms, 308.088µs, 24.823ms, 69.061ms, 346.428ms, 3.47s ,100.00%,
rpcdaemon,[3. 3] ,41 ,1000,20,  204.194µs, 18.978ms, 312.84µs, 27.928ms, 84.93ms, 413.168ms, 3.091s ,100.00%,
rpcdaemon,[3. 4] ,41 ,1000,20,  211µs, 18.995ms, 325.103µs, 27.353ms, 80.846ms, 388.796ms, 3.823s ,100.00%,
rpcdaemon,[3. 5] ,41 ,1000,20,  208.893µs, 24.085ms, 326.435µs, 39.83ms, 113.172ms, 492.979ms, 3.348s ,100.00%,
rpcdaemon,[4. 1] ,41 ,2500,20,  222.192µs, 11.141s, 9.247s, 25.887s, 27.579s, 33.966s, 1m24s ,100.00%,
rpcdaemon,[4. 2] ,85 ,2500,20,  1.88ms, 1m20s, 1m11s, 2m27s, 2m35s, 2m50s, 4m11s ,100.00%,
rpcdaemon,[4. 3] ,94 ,2500,20,  11.697ms, 1m48s, 1m59s, 3m1s, 3m7s, 3m16s, 4m18s ,100.00%,
