,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.5.0-26-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getTransactionByHash_13M.tar
,,,,,,,,,,,,VegetaChecksum,04125  1681
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0
Copyright (C) 2021 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,remove_http_compression_flag 0bef961628dafa7db3cdd0621429426fcac7ff5f
,,,,,,,,,,,,Erigon version, 0f0a445216b7d33bd189a2de328ff1b16eb21b89


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,29 ,1,1,  65.42ms, 65.42ms, 65.42ms, 65.42ms, 65.42ms, 65.42ms, 65.42ms ,100.00%,
silk,[1. 2] ,29 ,1,1,  811.609µs, 811.609µs, 811.609µs, 811.609µs, 811.609µs, 811.609µs, 811.609µs ,100.00%,
silk,[1. 3] ,29 ,1,1,  704.609µs, 704.609µs, 704.609µs, 704.609µs, 704.609µs, 704.609µs, 704.609µs ,100.00%,
silk,[1. 4] ,29 ,1,1,  754.935µs, 754.935µs, 754.935µs, 754.935µs, 754.935µs, 754.935µs, 754.935µs ,100.00%,
silk,[1. 5] ,29 ,1,1,  874.782µs, 874.782µs, 874.782µs, 874.782µs, 874.782µs, 874.782µs, 874.782µs ,100.00%,
silk,[2. 1] ,29 ,50,30,  665.8µs, 7.515ms, 7.009ms, 8.14ms, 9.099ms, 14.094ms, 118.758ms ,100.00%,
silk,[2. 2] ,29 ,50,30,  215.258µs, 337.862µs, 268.718µs, 527.256µs, 607.457µs, 797.234µs, 997.255µs ,100.00%,
silk,[2. 3] ,29 ,50,30,  207.785µs, 267.639µs, 241.504µs, 341.555µs, 383.857µs, 545.208µs, 919.05µs ,100.00%,
silk,[2. 4] ,29 ,50,30,  211.38µs, 262.468µs, 240.506µs, 332.455µs, 356.652µs, 554.965µs, 765.184µs ,100.00%,
silk,[2. 5] ,29 ,50,30,  209.415µs, 261.33µs, 237.439µs, 334.896µs, 359.448µs, 537.703µs, 940.364µs ,100.00%,
silk,[3. 1] ,29 ,1000,20,  189.856µs, 9.285ms, 5.707ms, 21.781ms, 30.274ms, 49.075ms, 75.265ms ,100.00%,
silk,[3. 2] ,29 ,1000,20,  188.468µs, 310.87µs, 230.459µs, 504.981µs, 575.638µs, 756.339µs, 4.374ms ,100.00%,
silk,[3. 3] ,29 ,1000,20,  185.816µs, 235.28µs, 212.222µs, 305.268µs, 319.62µs, 551.632µs, 4.581ms ,100.00%,
silk,[3. 4] ,29 ,1000,20,  186.925µs, 235.535µs, 211.916µs, 305.144µs, 318.935µs, 552.883µs, 4.271ms ,100.00%,
silk,[3. 5] ,29 ,1000,20,  185.184µs, 236.286µs, 213.707µs, 306.007µs, 320.389µs, 541.971µs, 4.624ms ,100.00%,
silk,[4. 1] ,29 ,2500,20,  185.38µs, 4.126ms, 218.657µs, 352.386µs, 764.815µs, 86.187ms, 457.529ms ,100.00%,
silk,[4. 2] ,29 ,2500,20,  184.943µs, 240.031µs, 211.566µs, 306.769µs, 343.225µs, 610.087µs, 4.924ms ,100.00%,
silk,[4. 3] ,29 ,2500,20,  185.095µs, 238.851µs, 211.307µs, 306.432µs, 339.008µs, 587.501µs, 4.625ms ,100.00%,
silk,[4. 4] ,29 ,2500,20,  185.182µs, 242.277µs, 214.08µs, 307.831µs, 346.339µs, 610.884µs, 5.426ms ,100.00%,
silk,[4. 5] ,29 ,2500,20,  185.933µs, 239.547µs, 211.962µs, 306.501µs, 340.319µs, 599.2µs, 4.324ms ,100.00%,
silk,[5. 1] ,29 ,10000,20,  182.624µs, 483.415µs, 306.1µs, 961.343µs, 1.39ms, 2.479ms, 7.974ms ,100.00%,
silk,[5. 2] ,29 ,10000,20,  184.496µs, 591.694µs, 339.833µs, 1.213ms, 1.676ms, 2.919ms, 38.307ms ,100.00%,
silk,[5. 3] ,29 ,10000,20,  181.572µs, 409.986µs, 270.395µs, 756.181µs, 1.095ms, 2.062ms, 6.887ms ,100.00%,
silk,[5. 4] ,29 ,10000,20,  182.282µs, 11.319ms, 447.066µs, 4.363ms, 53.072ms, 293.489ms, 690.829ms ,100.00%,
silk,[5. 5] ,29 ,10000,20,  183.866µs, 581.968µs, 294.808µs, 999.295µs, 1.44ms, 2.847ms, 101.892ms ,100.00%,
rpcdaemon,[1. 1] ,29 ,1,1,  1.317s, 1.317s, 1.317s, 1.317s, 1.317s, 1.317s, 1.317s ,100.00%,
rpcdaemon,[1. 2] ,29 ,1,1,  861.153µs, 861.153µs, 861.153µs, 861.153µs, 861.153µs, 861.153µs, 861.153µs ,100.00%,
rpcdaemon,[1. 3] ,29 ,1,1,  902.496µs, 902.496µs, 902.496µs, 902.496µs, 902.496µs, 902.496µs, 902.496µs ,100.00%,
rpcdaemon,[1. 4] ,29 ,1,1,  932.323µs, 932.323µs, 932.323µs, 932.323µs, 932.323µs, 932.323µs, 932.323µs ,100.00%,
rpcdaemon,[1. 5] ,29 ,1,1,  797.299µs, 797.299µs, 797.299µs, 797.299µs, 797.299µs, 797.299µs, 797.299µs ,100.00%,
rpcdaemon,[2. 1] ,29 ,50,30,  1.279ms, 3.291ms, 3.122ms, 4.275ms, 4.773ms, 10.303ms, 22.348ms ,100.00%,
rpcdaemon,[2. 2] ,29 ,50,30,  322.434µs, 416.318µs, 374.225µs, 544.592µs, 576.277µs, 713.853µs, 8.186ms ,100.00%,
rpcdaemon,[2. 3] ,29 ,50,30,  317.228µs, 415.04µs, 369.353µs, 552.927µs, 589.38µs, 764.706µs, 7.706ms ,100.00%,
rpcdaemon,[2. 4] ,29 ,50,30,  312.616µs, 402.692µs, 366.144µs, 541.165µs, 577.18µs, 838.164µs, 1.223ms ,100.00%,
rpcdaemon,[2. 5] ,29 ,50,30,  318.6µs, 417.059µs, 369.786µs, 557.151µs, 609.554µs, 740.777µs, 8.455ms ,100.00%,
rpcdaemon,[3. 1] ,29 ,1000,20,  294.4µs, 1m13s, 1m9s, 2m34s, 2m48s, 2m56s, 2m56s ,100.00%,
rpcdaemon,[3. 2] ,43 ,1000,20,  144.139ms, 2m8s, 2m8s, 3m49s, 3m58s, 4m6s, 4m6s ,100.00%,
rpcdaemon,[3. 3] ,44 ,1000,20,  2.836s, 2m25s, 2m27s, 4m8s, 4m21s, 4m33s, 4m34s ,100.00%,
